slug,name,url,canvasW,canvasH,bboxW,bboxH,occupancyPct,hasAlpha,format,notes
adeon-acm18-acm18,"ADEON ACM18 Professional Audio Mixer Console with USB, Bluetooth & Multi-Channel Sound Control for DJ, Karaoke, Studio Recording, Live Performance & PA Systems",https://cdn.vibemusic.in/products/live-sound-lighting/adeon-acm18-acm18/bd28f237-9020-4c54-828b-13ec89f0aca5.png,2000,2000,892,1721,38.4,true,png,large whitespace
adeon-acm24-acm-24,"ADEON ACM24 Professional Audio Mixer Console with USB, Bluetooth & Multi-Channel Sound Effects for DJ, Karaoke, Studio Recording, Live Performance & PA Systems",https://cdn.vibemusic.in/products/live-sound-lighting/adeon-acm24-acm-24/541e52f7-7702-46c0-8ca4-6058c8a1e056.png,4000,6000,2072,4657,40.2,true,png,large whitespace
adeon-acon-acon,"ADEON ACON Professional Audio Mixer Console with USB, Bluetooth & Multi-Channel Sound Control for DJ, Karaoke, Studio Recording, Live Performance & PA Systems",https://cdn.vibemusic.in/products/live-sound-lighting/adeon-acon-acon/5ca48922-07d4-46c3-ac80-2f2eaa3fd7a0.png,0,0,0,0,0,false,unknown,fetch failed HTTP 404
adeon-ad12-dsp-ad12-dsp,"ADEON AD12 DSP Professional Active PA Speaker with DSP Audio Control, Powerful Bass & Clear Sound for DJ, Karaoke, Live Performance, Stage Events & PA Systems",https://cdn.vibemusic.in/products/live-sound-lighting/adeon-ad12-dsp-ad12-dsp/8fb09902-2a06-4c6a-b01d-14e630ba9e84.png,4000,6000,1643,3180,21.8,true,png,large whitespace
adeon-ad15dsp-ad15dsp,"ADEON AD15DSP Professional Active PA Speaker with DSP Control, Powerful Bass & High-Clarity Sound for DJ, Live Performance, Stage Events, Karaoke & PA Systems",https://cdn.vibemusic.in/products/live-sound-lighting/adeon-ad15dsp-ad15dsp/515381f7-f845-46c3-abef-a78cad31d6a7.png,4000,6000,3180,2220,29.4,true,png,large whitespace
adeon-adeon-aedan-pro1-adeon-aedan-pro1,"ADEON ADEON AEDAN PRO1 Professional Microphone for Musicians, Live Performance and Studio Applications",https://cdn.vibemusic.in/products/microphones-wireless/adeon-adeon-aedan-pro1-adeon-aedan-pro1/e46688bd-9712-4eac-b0e1-2f9d9384cbae.png,1200,2090,1142,848,38.6,true,png,large whitespace
adeon-adeon-ams-122f-adeon-ams-122f,"ADEON ADEON AMS - 122F Professional Audio Mixer for Musicians, Live Performance and Studio Applications",https://cdn.vibemusic.in/products/live-sound-lighting/adeon-adeon-ams-122f-adeon-ams-122f/12db0051-3bc8-4e2a-bf70-9c640878f71b.png,2000,2000,1726,1088,46.9,true,png,large whitespace
adeon-adeon-ax-kb-41xl-adeon-ax-kb-41xl,"ADEON ADEON AX KB - 41XL Professional Keyboard Stand for Musicians, Live Performance and Studio Applications",https://cdn.vibemusic.in/products/keyboards-synthesizers/adeon-adeon-ax-kb-41xl-adeon-ax-kb-41xl/55821996-5863-4175-8d9c-5d19966fd4c3.png,6000,4000,2215,2861,26.4,true,png,large whitespace
adeon-adeon-ax-mcs-adeon-ax-mcs-2022,"ADEON ADEON AX MCS -  Professional Microphone Stand for Musicians, Live Performance and Studio Applications",https://cdn.vibemusic.in/products/microphones-wireless/adeon-adeon-ax-mcs-adeon-ax-mcs-2022/23662f11-b914-46a3-ad21-8009a5d868b6.png,4000,6000,1104,3693,17,true,png,large whitespace
adeon-adeon-ax-ns-13-adeon-ax-ns-13,"ADEON ADEON AX NS-13 Professional Music Stand for Musicians, Live Performance and Studio Applications",https://cdn.vibemusic.in/products/home-audio-electronics/adeon-adeon-ax-ns-13-adeon-ax-ns-13/bb25983d-6665-4294-bc83-e5affd8d930d.png,4000,6000,2822,3656,43,true,png,large whitespace
avus-avus-theo-8-theo,"AVUS AVUS THEO 8"" Professional Cymbal for Musicians, Live Performance and Studio Applications",https://cdn.vibemusic.in/products/drums-percussion/avus-avus-theo-8-theo/9188b76d-9df1-46b3-91eb-940543947788.png,6000,4000,1618,1611,10.9,true,png,large whitespace
adeon-adeon-hdm-50-hdm-50,"ADEON ADEON HDM - 50 Professional Headphones for Musicians, Live Performance and Studio Applications",https://cdn.vibemusic.in/products/home-audio-electronics/adeon-adeon-hdm-50-hdm-50/82b29098-de08-4906-abeb-471d4ea81120.png,4000,6000,2656,2292,25.4,true,png,large whitespace
